before,after,tier
-1.0,1.0,Challenger
0.0,0.0,Challenger
0.0,0.0,Challenger
4.0,3.5,Challenger
-0.0,10.0,Challenger
10.0,2.0,Challenger
-0.0,-1.0,Challenger
1.5,-2.0,Challenger
3.0,5.0,Challenger
2.0,1.0,Challenger
1.0,1.0,Challenger
4.0,-0.0,Challenger
1.0,-0.0,Challenger
1.0,-0.0,Challenger
-0.0,-0.0,Challenger
-0.0,-0.0,Challenger
2.0,6.0,Challenger
8.0,-1.0,Challenger
9.5,7.5,Challenger
1.0,3.0,Challenger
3.0,-1.0,Challenger
1.0,1.0,Challenger
0.0,-2.0,Challenger
2.0,1.0,Challenger
4.5,-5.0,Challenger
5.0,-1.0,Challenger
4.0,-4.0,Challenger
2.0,1.0,Challenger
2.0,2.0,Challenger
6.0,-2.0,Challenger
2.0,-0.5,Challenger
1.5,-1.0,Challenger
2.0,6.0,Challenger
8.0,-1.0,Challenger
10.0,7.0,Challenger
1.0,3.0,Challenger
3.0,-1.0,Challenger
1.0,1.0,Challenger
-0.0,-2.0,Challenger
2.0,1.0,Challenger
4.0,-5.0,Challenger
5.0,-1.0,Challenger
4.0,-4.0,Challenger
2.0,1.0,Challenger
2.0,1.0,Challenger
6.0,-2.0,Challenger
2.0,-0.0,Challenger
2.0,-1.0,Challenger
2.5,2.0,Challenger
4.0,-3.0,Challenger
-0.0,13.0,Challenger
17.0,-17.0,Challenger
16.0,1.0,Challenger
0.5,15.5,Challenger
15.5,-3.0,Challenger
6.0,1.0,Challenger
-1.0,-4.0,Challenger
1.0,0.0,Challenger
4.0,-3.0,Challenger
3.0,-3.0,Challenger
3.0,-2.0,Challenger
3.0,-3.0,Challenger
3.0,-1.0,Challenger
1.0,-3.0,Challenger
3.0,-1.0,Challenger
3.0,-4.0,Challenger
1.0,5.0,Challenger
6.0,2.5,Challenger
13.5,-1.0,Challenger
2.5,2.0,Challenger
2.5,-2.0,Challenger
0.0,13.0,Challenger
18.0,-17.0,Challenger
16.0,1.0,Challenger
1.0,15.0,Challenger
15.0,-4.0,Challenger
7.0,1.0,Challenger
-0.5,-3.5,Challenger
1.0,-0.0,Challenger
4.0,-3.0,Challenger
3.0,-3.0,Challenger
3.0,-2.0,Challenger
2.5,-3.5,Challenger
3.5,-2.0,Challenger
2.0,-3.0,Challenger
3.0,-1.0,Challenger
3.0,-4.0,Challenger
1.0,4.5,Challenger
6.0,1.0,Challenger
15.0,-1.0,Challenger
3.0,-3.0,Challenger
3.0,-2.0,Challenger
12.0,2.0,Challenger
-0.0,-0.0,Challenger
0.0,0.0,Challenger
2.0,-1.0,Challenger
0.5,12.0,Challenger
9.0,-5.0,Challenger
17.0,4.0,Challenger
4.0,2.0,Challenger
2.0,-3.0,Challenger
3.0,-3.0,Challenger
4.0,0.0,Challenger
-0.0,-2.0,Challenger
3.0,3.0,Challenger
13.0,-13.0,Challenger
4.0,-0.0,Challenger
1.0,3.0,Challenger
6.0,-0.5,Challenger
5.0,-4.0,Challenger
4.0,-1.0,Challenger
11.0,2.0,Challenger
0.0,1.0,Challenger
-1.0,1.5,Challenger
2.0,-1.0,Challenger
0.5,13.0,Challenger
9.0,-4.0,Challenger
17.0,4.0,Challenger
4.0,2.0,Challenger
2.0,-3.0,Challenger
3.0,-3.0,Challenger
4.0,1.0,Challenger
-1.0,-1.0,Challenger
3.0,3.5,Challenger
13.0,-13.0,Challenger
3.5,0.5,Challenger
1.0,3.0,Challenger
6.0,-0.5,Challenger
4.0,-4.0,Challenger
1.0,2.0,Challenger
5.5,8.5,Challenger
4.5,-4.5,Challenger
1.0,4.5,Challenger
5.0,9.0,Challenger
3.0,-4.5,Challenger
4.5,-2.5,Challenger
2.5,-3.0,Challenger
5.0,2.0,Challenger
8.5,13.5,Challenger
8.5,6.0,Challenger
10.0,-5.0,Challenger
5.0,16.0,Challenger
23.0,9.0,Challenger
32.0,-1.0,Challenger
6.0,-3.0,Challenger
16.0,-2.0,Challenger
17.0,-6.0,Challenger
9.0,-8.0,Challenger
8.0,14.0,Challenger
19.5,3.5,Challenger
10.0,-7.0,Challenger
11.5,-5.0,Challenger
7.0,-9.0,Challenger
9.0,18.0,Challenger
4.0,-5.0,Challenger
5.0,-3.0,Challenger
3.0,-3.0,Challenger
5.0,2.0,Challenger
7.5,13.5,Challenger
8.0,6.0,Challenger
10.0,-5.0,Challenger
5.0,16.0,Challenger
23.0,9.0,Challenger
32.0,0.0,Challenger
6.0,-3.0,Challenger
16.0,-2.0,Challenger
13.5,-6.0,Challenger
9.5,-9.5,Challenger
9.5,13.0,Challenger
19.0,4.0,Challenger
10.0,-7.0,Challenger
14.0,-4.5,Challenger
7.0,-9.0,Challenger
9.0,18.0,Challenger
19.5,-4.5,Challenger
4.5,-1.5,Challenger
4.5,5.0,Challenger
13.0,1.5,Challenger
15.5,3.0,Challenger
3.0,6.0,Challenger
8.0,-2.0,Challenger
-0.0,6.5,Challenger
2.5,-3.0,Challenger
4.5,-2.5,Challenger
2.5,2.0,Challenger
2.0,-0.0,Challenger
9.0,11.5,Challenger
17.5,0.0,Challenger
29.0,5.0,Challenger
8.0,-11.0,Challenger
11.0,3.5,Challenger
9.5,-12.0,Challenger
12.0,13.0,Challenger
30.0,-9.0,Challenger
23.0,-0.0,Challenger
9.5,-13.0,Challenger
35.5,5.5,Challenger
19.0,-4.0,Challenger
4.0,-6.0,Challenger
4.5,5.0,Challenger
15.0,-3.0,Challenger
14.5,4.0,Challenger
4.0,6.0,Challenger
8.0,-2.0,Challenger
-0.5,7.0,Challenger
2.5,-3.0,Challenger
4.5,-2.5,Challenger
2.5,1.0,Challenger
1.0,1.0,Challenger
10.0,10.5,Challenger
17.0,2.0,Challenger
28.0,5.0,Challenger
7.0,-10.0,Challenger
10.0,4.5,Challenger
12.5,-14.0,Challenger
14.0,13.0,Challenger
31.0,-10.0,Challenger
23.0,2.0,Challenger
9.5,-14.0,Challenger
34.5,8.0,Challenger
1.5,-6.5,Challenger
8.0,-7.0,Challenger
7.0,16.0,Challenger
20.5,2.0,Challenger
3.0,-3.0,Challenger
3.0,8.0,Challenger
9.5,-15.0,Challenger
15.0,-10.0,Challenger
13.5,5.0,Challenger
8.0,-2.0,Challenger
2.0,-0.0,Challenger
1.0,-6.0,Challenger
6.0,-7.0,Challenger
7.0,-7.0,Challenger
6.0,-0.5,Challenger
5.0,11.0,Challenger
17.0,-6.0,Challenger
6.0,-1.0,Challenger
2.0,3.0,Challenger
7.0,3.0,Challenger
6.0,16.0,Challenger
35.0,5.0,Challenger
1.5,-8.0,Challenger
8.0,-7.0,Challenger
7.0,16.0,Challenger
21.5,1.5,Challenger
3.5,-3.0,Challenger
3.0,8.0,Challenger
9.5,-15.0,Challenger
15.0,-10.0,Challenger
13.5,4.0,Challenger
8.0,-2.0,Challenger
2.0,-1.0,Challenger
-0.0,-5.0,Challenger
5.0,-6.0,Challenger
6.0,-7.0,Challenger
5.0,0.0,Challenger
5.0,11.0,Challenger
17.0,-6.5,Challenger
6.5,-1.5,Challenger
2.0,3.0,Challenger
6.0,2.0,Challenger
6.0,14.0,Challenger
35.0,5.0,Challenger
9.5,3.0,Challenger
3.0,1.0,Challenger
9.0,3.0,Challenger
3.0,2.0,Challenger
0.0,8.0,Challenger
8.0,0.5,Challenger
1.5,3.0,Challenger
3.0,1.0,Challenger
1.0,1.0,Challenger
1.0,0.0,Challenger
1.0,-1.0,Challenger
1.0,-0.0,Challenger
-1.0,0.0,Challenger
3.0,1.0,Challenger
2.0,-2.0,Challenger
2.0,2.0,Challenger
0.0,-4.0,Challenger
1.0,-0.0,Challenger
2.0,5.0,Challenger
7.5,17.5,Challenger
19.5,6.0,Challenger
6.0,-1.0,Challenger
8.0,15.0,Challenger
15.0,-3.0,Challenger
13.5,21.0,Challenger
21.5,-5.0,Challenger
5.0,3.0,Challenger
3.0,-3.5,Challenger
-2.0,-2.0,Challenger
-1.0,8.0,Challenger
8.0,0.5,Challenger
1.5,3.0,Challenger
3.0,1.0,Challenger
1.0,1.0,Challenger
1.0,-0.0,Challenger
-0.0,-0.0,Challenger
1.0,0.0,Challenger
-1.0,-0.0,Challenger
3.0,1.0,Challenger
2.0,-1.0,Challenger
1.0,3.0,Challenger
-0.0,-4.0,Challenger
1.0,0.0,Challenger
2.0,5.0,Challenger
7.5,17.5,Challenger
20.0,6.0,Challenger
6.0,-1.0,Challenger
8.0,15.0,Challenger
15.0,-3.0,Challenger
14.0,21.0,Challenger
21.5,-5.0,Challenger
5.0,3.0,Challenger
3.0,-3.5,Challenger
-2.0,-2.0,Challenger
3.5,1.5,Challenger
18.0,4.0,Challenger
4.0,-2.0,Challenger
3.0,-3.0,Challenger
3.0,-0.0,Challenger
2.0,-5.0,Challenger
5.0,6.0,Challenger
2.5,1.5,Challenger
18.0,4.0,Challenger
4.0,-2.0,Challenger
3.0,-3.0,Challenger
3.0,0.0,Challenger
2.0,-5.0,Challenger
5.0,6.0,Challenger
3.0,-3.0,Challenger
3.0,1.0,Challenger
0.0,-5.0,Challenger
5.0,4.0,Challenger
3.5,-2.0,Challenger
2.0,2.0,Challenger
-0.0,-5.0,Challenger
5.0,4.0,Challenger
2.0,5.0,Challenger
1.0,-1.0,Challenger
1.0,-1.0,Challenger
1.0,-1.0,Challenger
2.0,0.0,Challenger
-0.0,-1.0,Challenger
1.0,1.0,Challenger
1.0,-1.0,Challenger
1.0,0.0,Challenger
2.5,0.0,Challenger
1.0,0.0,Challenger
0.0,0.0,Challenger
1.0,0.0,Challenger
-0.0,-0.0,Challenger
0.0,0.0,Challenger
2.0,5.0,Challenger
1.0,-1.0,Challenger
1.0,-1.0,Challenger
1.0,-1.0,Challenger
2.0,-0.0,Challenger
0.0,-1.0,Challenger
1.0,1.0,Challenger
0.5,-0.5,Challenger
1.5,-0.0,Challenger
2.0,1.0,Challenger
1.0,-0.0,Challenger
1.0,-0.0,Challenger
1.0,-0.0,Challenger
0.0,0.0,Challenger
-0.0,-0.0,Challenger
3.5,-1.0,Challenger
2.5,-2.0,Challenger
2.0,5.0,Challenger
6.0,-2.0,Challenger
1.5,4.0,Challenger
4.0,-1.0,Challenger
2.5,-2.0,Challenger
2.0,5.0,Challenger
6.0,-2.0,Challenger
2.0,4.0,Challenger
5.5,9.0,Challenger
12.0,-6.0,Challenger
3.0,4.0,Challenger
6.0,2.0,Challenger
5.0,2.0,Challenger
3.0,-4.0,Challenger
4.0,-4.0,Challenger
4.0,-6.0,Challenger
1.0,8.0,Challenger
3.0,-0.0,Challenger
1.0,4.0,Challenger
8.0,2.0,Challenger
8.0,-1.0,Challenger
1.0,-2.0,Challenger
2.0,1.0,Challenger
2.0,-1.0,Challenger
4.0,-0.0,Challenger
5.5,9.0,Challenger
12.0,-6.0,Challenger
3.0,4.0,Challenger
6.0,2.0,Challenger
5.0,2.0,Challenger
3.0,-4.0,Challenger
4.0,-4.0,Challenger
4.0,-6.0,Challenger
1.0,8.0,Challenger
3.0,0.0,Challenger
1.0,4.0,Challenger
8.0,1.5,Challenger
8.0,-1.0,Challenger
1.0,-2.0,Challenger
2.0,1.0,Challenger
2.0,-1.0,Challenger
4.0,0.0,Challenger
2.0,-5.5,Challenger
5.5,3.5,Challenger
8.0,2.0,Challenger
12.0,7.0,Challenger
7.0,-4.0,Challenger
5.0,-6.5,Challenger
6.5,4.5,Challenger
3.0,-2.0,Challenger
-3.5,-0.5,Challenger
2.0,1.5,Challenger
5.0,5.5,Challenger
17.5,-1.5,Challenger
2.0,-3.0,Challenger
3.0,-4.5,Challenger
6.0,-2.0,Challenger
2.0,10.5,Challenger
21.5,4.0,Challenger
2.5,-5.5,Challenger
5.5,5.5,Challenger
8.5,2.0,Challenger
12.5,7.5,Challenger
7.5,-4.0,Challenger
5.0,-6.5,Challenger
6.5,4.5,Challenger
3.5,-1.0,Challenger
-3.5,-0.5,Challenger
2.0,2.0,Challenger
5.0,5.0,Challenger
18.5,-1.5,Challenger
2.0,-3.0,Challenger
3.0,-4.0,Challenger
6.0,-2.0,Challenger
2.0,11.5,Challenger
22.0,4.0,Challenger
9.0,5.0,Challenger
7.0,1.0,Challenger
3.5,-4.0,Challenger
0.5,0.0,Challenger
0.5,8.5,Challenger
10.5,-4.0,Challenger
4.0,-1.0,Challenger
0.5,-2.0,Challenger
2.0,-1.0,Challenger
11.0,-0.0,Challenger
1.0,-2.0,Challenger
2.0,-1.0,Challenger
1.0,-1.0,Challenger
1.0,4.0,Challenger
1.5,2.0,Challenger
2.0,1.0,Challenger
1.0,1.0,Challenger
7.5,6.0,Challenger
7.0,1.0,Challenger
4.0,-3.0,Challenger
-0.5,1.0,Challenger
0.5,8.5,Challenger
10.0,-4.5,Challenger
4.0,-1.0,Challenger
0.5,-2.0,Challenger
2.0,-1.0,Challenger
11.0,0.0,Challenger
1.5,-2.5,Challenger
2.5,-1.0,Challenger
1.0,-1.0,Challenger
1.0,4.0,Challenger
2.0,2.0,Challenger
3.0,1.0,Challenger
1.0,1.0,Challenger
2.0,-2.0,Challenger
3.5,5.0,Challenger
9.0,-1.0,Challenger
3.5,7.0,Challenger
5.0,1.5,Challenger
1.0,-2.0,Challenger
2.0,1.0,Challenger
3.5,-3.0,Challenger
3.5,0.0,Challenger
2.0,-2.0,Challenger
3.5,5.0,Challenger
9.0,-1.0,Challenger
4.0,7.0,Challenger
6.0,1.0,Challenger
-0.0,-1.0,Challenger
1.0,1.0,Challenger
4.0,-3.0,Challenger
3.5,-0.0,Challenger
1.0,-4.0,Challenger
5.0,-1.0,Challenger
0.0,-6.0,Challenger
6.5,-0.0,Challenger
2.0,4.0,Challenger
18.0,0.0,Challenger
16.0,7.0,Challenger
6.0,-5.5,Challenger
7.0,9.0,Challenger
14.0,1.0,Challenger
4.5,0.0,Challenger
3.0,6.0,Challenger
12.0,2.0,Challenger
6.5,-5.0,Challenger
1.5,-2.0,Challenger
7.0,3.0,Challenger
1.0,1.0,Challenger
11.0,9.0,Challenger
7.0,-0.0,Challenger
20.0,10.5,Challenger
10.5,1.5,Challenger
7.0,-7.0,Challenger
8.0,9.0,Challenger
12.5,4.5,Challenger
4.0,0.0,Challenger
-0.0,-1.0,Challenger
1.0,-4.0,Challenger
5.0,0.0,Challenger
-1.0,-5.0,Challenger
6.5,-1.0,Challenger
1.0,6.5,Challenger
18.0,-0.0,Challenger
16.0,7.0,Challenger
6.0,-5.5,Challenger
7.0,9.0,Challenger
14.0,1.5,Challenger
4.5,1.0,Challenger
4.0,5.5,Challenger
12.0,2.0,Challenger
6.5,-5.0,Challenger
1.0,-2.5,Challenger
6.0,4.0,Challenger
2.0,1.0,Challenger
11.0,9.0,Challenger
7.0,0.0,Challenger
20.0,10.5,Challenger
10.5,1.5,Challenger
6.0,-6.0,Challenger
8.0,10.0,Challenger
13.0,4.0,Challenger
3.0,-0.0,Challenger
0.0,-1.0,Challenger
8.0,-5.0,Challenger
5.0,8.5,Challenger
3.0,4.0,Challenger
4.0,3.0,Challenger
8.0,0.5,Challenger
15.5,4.0,Challenger
14.0,-9.0,Challenger
8.5,17.5,Challenger
17.0,6.0,Challenger
6.0,-2.0,Challenger
9.0,-5.0,Challenger
8.0,-2.0,Challenger
3.0,-5.0,Challenger
5.0,-1.0,Challenger
5.0,-5.0,Challenger
5.0,-4.0,Challenger
4.0,0.0,Challenger
11.0,11.0,Challenger
17.5,-1.0,Challenger
8.0,-5.0,Challenger
5.0,8.0,Challenger
3.0,4.0,Challenger
4.0,3.0,Challenger
8.5,1.0,Challenger
14.5,4.5,Challenger
11.5,-7.0,Challenger
8.0,17.0,Challenger
18.0,6.0,Challenger
7.0,-2.0,Challenger
9.5,-5.5,Challenger
8.0,-1.5,Challenger
2.5,-5.0,Challenger
5.0,-2.0,Challenger
5.0,-4.0,Challenger
5.0,-4.0,Challenger
3.5,-0.0,Challenger
11.0,11.0,Challenger
17.5,-1.0,Challenger
3.0,1.5,Challenger
15.5,7.0,Challenger
7.0,-3.0,Challenger
3.5,-0.5,Challenger
3.0,-2.5,Challenger
7.0,-3.0,Challenger
-1.0,0.0,Challenger
5.5,-4.0,Challenger
7.0,-5.0,Challenger
5.0,-7.0,Challenger
7.0,-5.0,Challenger
5.0,-4.0,Challenger
11.0,-9.0,Challenger
9.0,-2.0,Challenger
16.5,6.0,Challenger
6.0,-0.0,Challenger
7.0,0.5,Challenger
4.5,-7.5,Challenger
7.5,9.0,Challenger
22.5,-17.5,Challenger
5.0,-3.5,Challenger
4.0,-7.0,Challenger
3.0,-1.0,Challenger
2.5,-7.0,Challenger
3.5,1.5,Challenger
15.0,7.0,Challenger
7.0,-3.0,Challenger
3.0,-0.5,Challenger
2.5,-2.5,Challenger
7.0,-2.0,Challenger
-1.0,-0.0,Challenger
6.0,-4.5,Challenger
7.5,-5.0,Challenger
5.0,-7.0,Challenger
7.0,-5.0,Challenger
5.0,-4.0,Challenger
11.0,-9.5,Challenger
9.5,-2.0,Challenger
16.5,6.0,Challenger
6.0,0.0,Challenger
6.0,2.0,Challenger
4.0,-7.0,Challenger
7.0,9.0,Challenger
22.5,-17.0,Challenger
7.0,-3.0,Challenger
4.0,-7.5,Challenger
2.5,-1.0,Challenger
3.0,-6.5,Challenger
2.0,0.5,Challenger
1.0,0.5,Challenger
1.0,-1.0,Challenger
1.0,-1.0,Challenger
1.0,0.0,Challenger
1.0,-0.0,Challenger
0.5,-0.5,Challenger
0.5,0.5,Challenger
0.0,2.0,Challenger
2.0,0.0,Challenger
0.0,0.0,Challenger
0.0,1.0,Challenger
0.0,0.0,Challenger
-0.0,-0.0,Challenger
2.0,0.5,Challenger
1.0,0.5,Challenger
1.0,-1.0,Challenger
1.0,-1.0,Challenger
1.0,-0.0,Challenger
1.0,0.0,Challenger
0.5,-0.5,Challenger
0.5,1.0,Challenger
-0.0,2.0,Challenger
2.0,-0.0,Challenger
-0.0,-0.0,Challenger
-0.0,1.0,Challenger
-0.0,-0.0,Challenger
0.0,0.0,Challenger
9.0,0.0,Challenger
3.0,-2.0,Challenger
1.0,2.0,Challenger
3.0,-2.0,Challenger
2.0,4.0,Challenger
6.5,-2.5,Challenger
2.5,-2.0,Challenger
3.0,-2.0,Challenger
1.0,-1.0,Challenger
2.0,-1.0,Challenger
7.0,1.0,Challenger
1.0,-1.0,Challenger
1.0,-2.0,Challenger
2.0,-1.0,Challenger
1.0,-2.0,Challenger
2.0,-1.0,Challenger
0.5,8.5,Challenger
5.0,-1.5,Challenger
5.0,-3.0,Challenger
2.0,0.0,Challenger
-0.0,-3.5,Challenger
4.0,0.0,Challenger
9.0,-0.0,Challenger
3.0,-2.0,Challenger
1.0,2.0,Challenger
3.0,-2.0,Challenger
2.0,2.5,Challenger
5.5,-3.0,Challenger
3.0,-2.0,Challenger
3.0,-2.0,Challenger
0.5,-0.5,Challenger
2.0,-1.0,Challenger
7.0,1.0,Challenger
1.0,-1.0,Challenger
1.0,-2.0,Challenger
2.0,-1.0,Challenger
1.0,-2.0,Challenger
2.0,-1.0,Challenger
1.0,8.0,Challenger
5.0,-3.0,Challenger
6.0,-2.0,Challenger
3.0,-1.0,Challenger
1.0,-4.5,Challenger
3.0,-0.5,Challenger
-0.0,4.5,Challenger
9.5,-4.5,Challenger
6.0,4.0,Challenger
12.5,-3.0,Challenger
16.5,-6.5,Challenger
16.0,0.5,Challenger
5.5,4.0,Challenger
4.0,-3.5,Challenger
3.5,15.5,Challenger
15.5,5.0,Challenger
1.0,1.5,Challenger
12.5,-5.5,Challenger
7.0,0.5,Challenger
6.5,6.0,Challenger
7.0,1.0,Challenger
1.5,-8.0,Challenger
8.0,-4.0,Challenger
10.0,14.0,Challenger
4.0,19.0,Challenger
19.5,8.0,Challenger
5.5,19.0,Challenger
19.0,7.0,Challenger
4.0,9.0,Challenger
0.0,4.5,Challenger
9.5,-5.0,Challenger
6.0,4.0,Challenger
12.5,-3.0,Challenger
16.0,-6.5,Challenger
16.0,0.5,Challenger
5.5,4.0,Challenger
4.0,-3.5,Challenger
3.5,15.5,Challenger
15.5,5.0,Challenger
2.0,1.0,Challenger
12.0,-6.0,Challenger
6.0,0.5,Challenger
6.0,6.0,Challenger
7.0,1.0,Challenger
1.5,-7.0,Challenger
7.0,-3.0,Challenger
10.0,14.0,Challenger
-0.0,21.5,Challenger
20.0,7.5,Challenger
5.5,19.0,Challenger
19.0,7.0,Challenger
5.0,9.0,Challenger
3.5,1.0,Challenger
3.0,9.0,Challenger
4.0,-5.0,Challenger
4.0,-3.0,Challenger
3.0,4.0,Challenger
7.5,-4.0,Challenger
3.0,-0.5,Challenger
1.5,8.5,Challenger
7.0,3.0,Challenger
8.0,-4.5,Challenger
5.0,-6.0,Challenger
7.0,-7.0,Challenger
3.0,0.0,Challenger
4.0,-2.5,Challenger
1.0,4.0,Challenger
1.5,3.5,Challenger
2.0,-3.0,Challenger
3.0,-1.5,Challenger
3.5,12.5,Challenger
16.0,-0.5,Challenger
3.0,3.0,Challenger
2.5,2.0,Challenger
3.5,8.5,Challenger
4.0,-5.0,Challenger
4.0,-2.0,Challenger
2.0,5.0,Challenger
7.5,-4.0,Challenger
3.0,-0.0,Challenger
1.5,8.5,Challenger
7.0,1.0,Challenger
8.0,-5.0,Challenger
6.0,-6.0,Challenger
7.0,-7.0,Challenger
3.0,-0.5,Challenger
3.0,-3.0,Challenger
1.0,4.0,Challenger
2.0,3.0,Challenger
2.0,-3.0,Challenger
3.0,-1.0,Challenger
3.5,13.0,Challenger
16.0,-1.0,Challenger
3.0,3.0,Challenger
-0.0,12.0,Challenger
15.0,-6.5,Challenger
9.5,4.0,Challenger
2.0,9.0,Challenger
12.0,5.0,Challenger
5.0,-1.0,Challenger
3.0,-5.0,Challenger
5.0,-5.0,Challenger
2.0,-8.5,Challenger
8.5,-3.5,Challenger
-1.0,-3.0,Challenger
4.5,5.5,Challenger
18.0,1.0,Challenger
0.0,13.0,Challenger
15.0,-6.5,Challenger
9.5,3.0,Challenger
2.0,9.0,Challenger
12.0,5.0,Challenger
5.0,-2.0,Challenger
4.0,-6.0,Challenger
6.0,-4.5,Challenger
3.0,-8.0,Challenger
8.0,-3.0,Challenger
-2.5,-1.5,Challenger
5.5,4.5,Challenger
19.0,-0.5,Challenger
0.0,15.0,Challenger
14.5,4.5,Challenger
4.5,-1.0,Challenger
5.0,5.0,Challenger
5.0,0.0,Challenger
2.0,-1.0,Challenger
1.0,0.0,Challenger
8.0,-7.5,Challenger
7.5,2.5,Challenger
1.5,2.5,Challenger
10.0,-11.5,Challenger
11.5,-5.0,Challenger
-5.5,14.5,Challenger
-5.0,-7.0,Challenger
15.0,-8.0,Challenger
11.0,-9.0,Challenger
13.5,9.5,Challenger
4.0,5.0,Challenger
-0.0,15.0,Challenger
14.0,4.5,Challenger
4.5,-1.0,Challenger
4.0,6.0,Challenger
6.0,-0.0,Challenger
2.0,-1.0,Challenger
1.0,-0.0,Challenger
8.0,-8.0,Challenger
8.0,2.0,Challenger
1.0,2.5,Challenger
10.0,-11.5,Challenger
11.5,-5.5,Challenger
5.5,-14.5,Challenger
-5.5,-6.5,Challenger
15.0,-8.0,Challenger
11.0,-9.5,Challenger
14.0,9.5,Challenger
6.0,4.0,Challenger
-0.0,6.0,Challenger
6.0,2.0,Challenger
3.0,-1.0,Challenger
3.0,1.0,Challenger
3.0,-0.0,Challenger
0.0,1.0,Challenger
1.0,-0.0,Challenger
1.0,-2.0,Challenger
2.0,1.5,Challenger
3.0,-1.0,Challenger
1.0,-2.0,Challenger
2.0,-1.0,Challenger
3.0,-1.5,Challenger
4.0,2.5,Challenger
4.5,-0.0,Challenger
0.0,6.0,Challenger
6.0,2.0,Challenger
2.0,0.0,Challenger
3.0,1.0,Challenger
2.5,0.0,Challenger
-0.0,1.0,Challenger
0.5,0.5,Challenger
1.0,-2.0,Challenger
2.0,2.0,Challenger
3.0,-1.0,Challenger
1.0,-2.0,Challenger
2.0,-1.0,Challenger
3.0,-1.5,Challenger
4.5,2.5,Challenger
5.0,-0.5,Challenger
0.5,1.5,Challenger
-0.0,-0.0,Challenger
1.0,1.0,Challenger
1.0,-2.0,Challenger
2.0,-2.0,Challenger
2.0,1.0,Challenger
2.0,-4.5,Challenger
4.5,-1.0,Challenger
1.0,-1.0,Challenger
1.0,2.0,Challenger
2.0,0.0,Challenger
1.0,1.0,Challenger
2.5,-0.0,Challenger
-0.0,-0.0,Challenger
3.0,-1.5,Challenger
2.0,-4.0,Challenger
4.0,0.0,Challenger
8.0,-4.5,Challenger
4.5,1.0,Challenger
3.0,-6.0,Challenger
6.0,0.5,Challenger
3.0,-3.5,Challenger
3.5,11.5,Challenger
21.0,0.0,Challenger
8.0,-11.0,Challenger
11.0,4.0,Challenger
7.0,-2.0,Challenger
11.0,-3.0,Challenger
8.0,-0.5,Challenger
4.5,-6.0,Challenger
6.0,-1.0,Challenger
13.5,17.5,Challenger
17.5,-18.0,Challenger
18.0,6.5,Challenger
8.0,-5.5,Challenger
