ticker,klass
KXATPMATCH-26JUL26SVAHEW-SVA,manual
KXATPMATCH-26JUL27GIRHEW-HEW,bot
KXATPMATCH-26JUL27MAJPAU-MAJ,bot
KXATPMATCH-26JUL27MANTIE-MAN,bot
KXATPMATCH-26JUL27NISSHA-SHA,bot
KXBTC15M-26JUL252115-15,manual
KXBTC15M-26JUL252130-30,manual
KXBTC15M-26JUL252145-45,manual
KXCLUBFGAME-26JUL25AUCTOT-TIE,manual
KXCLUBFGAME-26JUL25LFCSUN-LFC,manual
KXELITESERIENGAME-26JUL26SKBVIF-VIF,manual
KXITFMATCH-26JUL25TUDMBI-MBI,manual
KXITFMATCH-26JUL25TUDMBI-TUD,manual
KXITFMATCH-26JUL26BRUNEC-NEC,manual
KXITFMATCH-26JUL26CRONAK-CRO,manual
KXITFMATCH-26JUL26DENHOL-DEN,manual
KXITFMATCH-26JUL26VISVEN-VEN,manual
KXITFMATCH-26JUL26ZAHPER-ZAH,manual
KXITFMATCH-26JUL27BALBRE-BAL,bot
KXITFMATCH-26JUL27CAMATK-ATK,bot
KXITFMATCH-26JUL27DUHLUT-LUT,manual
KXITFMATCH-26JUL27GUABOR-GUA,bot
KXITFMATCH-26JUL27JIXKOX-KOX,mixed
KXITFMATCH-26JUL27KOZSEL-KOZ,manual
KXITFMATCH-26JUL27SENKHO-KHO,manual
KXITFMATCH-26JUL27TAKKRI-KRI,bot
KXITFMATCH-26JUL28BELKAR-KAR,bot
KXITFMATCH-26JUL28BREJAN-BRE,bot
KXITFMATCH-26JUL28COCCOM-COM,bot
KXITFMATCH-26JUL28DHOREC-REC,bot
KXITFMATCH-26JUL28DUSFIL-FIL,bot
KXITFMATCH-26JUL28FONORT-FON,bot
KXITFMATCH-26JUL28FRYCOQ-FRY,bot
KXITFMATCH-26JUL28FUNSHA-FUN,bot
KXITFMATCH-26JUL28HUDPED-PED,bot
KXITFMATCH-26JUL28HUELEI-LEI,bot
KXITFMATCH-26JUL28IANTAB-IAN,bot
KXITFMATCH-26JUL28KAMHOH-HOH,bot
KXITFMATCH-26JUL28LESMEN-MEN,bot
KXITFMATCH-26JUL28MASWRI-MAS,bot
KXITFMATCH-26JUL28MAZEDE-EDE,bot
KXITFMATCH-26JUL28MECORL-ORL,bot
KXITFMATCH-26JUL28MUNLEC-LEC,bot
KXITFMATCH-26JUL28NAGBRA-NAG,bot
KXITFMATCH-26JUL28OBELIS-LIS,bot
KXITFMATCH-26JUL28OLIVER-VER,bot
KXITFMATCH-26JUL28OSOCHA-OSO,bot
KXITFMATCH-26JUL28PERMOL-PER,bot
KXITFMATCH-26JUL28PERZAH-ZAH,bot
KXITFMATCH-26JUL28PLUPLA-PLU,bot
KXITFMATCH-26JUL28ROUSTR-STR,bot
KXITFMATCH-26JUL28SALFAB-FAB,bot
KXITFMATCH-26JUL28SARTOF-SAR,bot
KXITFMATCH-26JUL28SCRALB-ALB,bot
KXITFMATCH-26JUL28STOBAE-STO,bot
KXITFMATCH-26JUL28TABSPI-SPI,bot
KXITFMATCH-26JUL28VANMAT-VAN,bot
KXITFMATCH-26JUL28WEIRIS-RIS,bot
KXITFWMATCH-26JUL25BUCMAL-BUC,manual
KXITFWMATCH-26JUL25BUCMAL-MAL,manual
KXITFWMATCH-26JUL25LUXCHA-CHA,manual
KXITFWMATCH-26JUL25LUXCHA-LUX,manual
KXITFWMATCH-26JUL26MPECHL-MPE,manual
KXITFWMATCH-26JUL27ADASYM-ADA,bot
KXITFWMATCH-26JUL27PAUTRA-PAU,bot
KXITFWMATCH-26JUL28AGUHAR-AGU,bot
KXITFWMATCH-26JUL28ANGCRO-CRO,bot
KXITFWMATCH-26JUL28BORNAJ-NAJ,bot
KXITFWMATCH-26JUL28BRODES-BRO,bot
KXITFWMATCH-26JUL28CEXSHA-SHA,bot
KXITFWMATCH-26JUL28COLKOI-COL,bot
KXITFWMATCH-26JUL28DIGMIK-MIK,bot
KXITFWMATCH-26JUL28FAVSOU-FAV,bot
KXITFWMATCH-26JUL28FAVSOU-SOU,bot
KXITFWMATCH-26JUL28GADBAR-GAD,bot
KXITFWMATCH-26JUL28KULFRO-FRO,bot
KXITFWMATCH-26JUL28MAHDRI-DRI,bot
KXITFWMATCH-26JUL28MICBER-MIC,bot
KXITFWMATCH-26JUL28MUSGAI-MUS,bot
KXITFWMATCH-26JUL28NEWHAZ-HAZ,bot
KXITFWMATCH-26JUL28NIKHAD-NIK,bot
KXITFWMATCH-26JUL28PLOFER-FER,bot
KXITFWMATCH-26JUL28RUTSPI-SPI,bot
KXITFWMATCH-26JUL28SAGLEV-LEV,bot
KXITFWMATCH-26JUL28SAIPER-SAI,bot
KXITFWMATCH-26JUL28SRAWIR-WIR,bot
KXITFWMATCH-26JUL28ZAAFRI-FRI,bot
KXITFWMATCH-26JUL28ZHUHRA-ZHU,bot
KXMLSGAME-26JUL25PORRSL-TIE,manual
KXMVESPORTSMULTIGAMEEXTENDED-S20260CBEE4CBFB7-636B1EC7F4F,manual
KXWTACHALLENGERMATCH-26JUL25PLEWON-WON,manual
KXWTACHALLENGERMATCH-26JUL25SHIDON-SHI,manual
KXWTAMATCH-26JUL26GIBMAR-MAR,bot
KXWTAMATCH-26JUL26HUNJOH-HUN,manual
KXWTAMATCH-26JUL26HUNJOH-JOH,manual
KXWTAMATCH-26JUL26KASSMI-SMI,manual
KXWTAMATCH-26JUL26PRODRE-DRE,manual
KXWTAMATCH-26JUL27EALZHE-ZHE,bot
KXWTAMATCH-26JUL27KRUBOU-BOU,bot
KXWTAMATCH-26JUL27SAMKEY-KEY,bot
KXWTAMATCH-26JUL27SIEPRO-PRO,bot
KXWTAMATCH-26JUL27SONBRA-SON,bot
KXWTAMATCH-26JUL27WANMCC-WAN,bot
KXWTAMATCH-26JUL28BUCKUD-BUC,bot
